name,display_name,chapter(int),source code (y/n),gif images (y/n),supplmental materials (y/n),Original Filename,Source,License/Copyright,OpenStax Section 1,OpenStax Section 2,Brief Description,Long Description,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Pedagogical Quality,Graphics Quality,Comments
SE2016Mar09T.gif,Solar Eclipse Shadow Path,4,n,n,n,SE2016Mar09T.gif,https://commons.wikimedia.org/wiki/File:SE2016Mar09T.gif,Public domain (NASA),4.7,,Solar eclipse shadow,Movement of the umbra across Earth during a solar eclipse,Eclipse,Umbra,Penumbra,,,7,9,
Pluto_Charon_Orbit.gif,Charon Orbiting Pluto,3,n,n,n,First_Color_Animated_Images_show_Pluto_and_its_Moon_Charon.gif,https://commons.wikimedia.org/wiki/File:First_Color_Animated_Images_show_Pluto_and_its_Moon_Charon.gif,Public domain (NASA),3.3,12.4,Charon orbiting Pluto,Orbit of Pluto and Charon around mutual barycenter,Pluto,Charon,Orbit,Barycenter,Moon,8,5,"Author Lillian Gipson, https://www.nasa.gov/feature/pluto-and-its-moon-charon-now-in-color"
Adaptive_optics.gif,Adaptive Optics Fix Distortion,6,n,n,n,Adaptive_optics.gif,https://commons.wikimedia.org/wiki/File:Adaptive_optics.gif,Public domain,6.2,,Adaptive optics demonstration,"Comparison of distortion, distorted image, and recovered image from adaptive optics",Optics,Telescope,Seeing,Distortion,,8,6,
Wavy.gif,Spacetime Ripples Waves,24,n,n,n,Wavy.gif,https://commons.wikimedia.org/wiki/File:Wavy.gif,Public domain (NASA),24.7,24.2,Spacetime ripples/waves,Ripples in spacetime from fast-orbiting stars,Spacetime,Relativity,Black hole,Neutron star,Gravitational wave,6,7,
Sn2008hdani.gif,Supernova Explosion X-Ray,23,n,n,n,Sn2008hdani.gif,https://commons.wikimedia.org/wiki/File:Sn2008hdani.gif,Public domain (NASA),23.3,23.2,Supernove in galaxy,X-ray view of a supernova explosion next to a visibile view of the galaxy during the explosion,Supernova,Standard candle,X-ray,,,7,6,
CrabNebula-5Observatories.gif,Crab Nebula 5 Different Wavelengths,23,n,n,n,PIA21474-CrabNebula-5Observatories-Animation.gif,https://commons.wikimedia.org/wiki/File:PIA21474-CrabNebula-5Observatories-Animation.gif,Public domain (NASA),23.4,6.5,Crab Nebula Different Wavelengths,Crab Nebula and pulsar in several different wavelength ranges,Supernova,Electromagnetic Spectrum,Pulsar,Neutron Star,Nebula,7,8,"Obersvatories: VLA (red), Spitzer (yellow), HST (green), XMM-Newton (blue), Chandra (purple)"
Apparent_retrograde_motion.gif,Apparent Retrograde Motion,2,n,n,n,Apparent_retrograde_motion.gif,https://commons.wikimedia.org/wiki/File:Apparent_retrograde_motion.gif,Share Alike 2.5 Generic Licnsee,2.2,,Apparent retrograde motion,Diagram showing apparent motion around earth with motion around the Sun,Retrograde,Orbit,,,,9,8,Author English Wikipedia user cleonis
Black_body_visible_spectrum.gif,Black Body Visible Spectrum,5,n,n,n,Black_body_visible_spectrum.gif,https://commons.wikimedia.org/wiki/File:Black_body_visible_spectrum.gif,GNU Free Documentation License/Share Alike 3.0 Unported License,5.2,17.2,Blackbody apparent color,Blackbody curve and overall color for temperatures that peak in the visible range,Blackbody,Color,Temperature,Visible Light,Spectrum,7,8,"By Dariusz Kowalczyk - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=20328625"
Radial_velocity_doppler_spectroscopy.gif,Radial Velocity Doppler Spectroscopy,14,n,n,n,Radial_velocity_doppler_spectroscopy.gif,https://commons.wikimedia.org/wiki/File:Radial_velocity_doppler_spectroscopy.gif#/media/File:Radial_velocity_doppler_spectroscopy.gif,Share Alike 4.0 International license,14.4,5.6,Radial velocity exoplanet,Doppler-shifted spectrum of a star with a large exoplanet,Exoplanet,Doppler shift,Spectrum,,,9,8,"By Alysa Obertas - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=77266706"
FrequencyAnimation.gif,Frequency Comparisons,5,n,n,n,FrequencyAnimation.gif,https://commons.wikimedia.org/wiki/File:FrequencyAnimation.gif,Public domain,5.1,,Different frequencies,Comparison of lights with different frequencies and periods,Frequency,Light,Period,,,6,6,
