name,display_name,file_name,chapter(int),source code (y/n),gif images (y/n),supplemental material (y/n),Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
SE2016Mar09T,Solar Eclipse Shadow Path,SE2016Mar09T.gif,4,n,n,n,Eclipse,Umbra,Penumbra,,
Pluto_Charon_Orbit,Charon Orbiting Pluto,Pluto_Charon_Orbit.gif,3,n,n,n,Pluto,Charon,Orbit,Barycenter,Moon
Adaptive_optics,Adaptive Optics Fix Distortion,Adaptive_optics.gif,6,n,n,n,Optics,Telescope,Seeing,Distortion,
Wavy,Spacetime Ripples Waves,Wavy.gif,24,n,n,n,Spacetime,Relativity,Black hole,Neutron star,Gravitational wave
Sn2008hdani,Supernova Explosion X-Ray,Sn2008hdani.gif,23,n,n,n,Supernova,Standard candle,X-ray,,
CrabNebula-5Observatories,Crab Nebula 5 Different Wavelengths,,23,n,n,n,Supernova,Electromagnetic Spectrum,Pulsar,Neutron Star,Nebula
Apparent_retrograde_motion,Apparent Retrograde Motion,Apparent_retrograde_motion.gif,2,n,n,n,Retrograde,Orbit,,,
Black_body_visible_spectrum,Black Body Visible Spectrum,Black_body_visible_spectrum.gif,5,n,n,n,Blackbody,Color,Temperature,Visible Light,Spectrum
Radial_velocity_doppler_spectroscopy,Radial Velocity Doppler Spectroscopy,Radial_velocity_doppler_spectroscopy.gif,14,n,n,n,Exoplanet,Doppler shift,Spectrum,,
FrequencyAnimation,Frequency Comparisons,FrequencyAnimation.gif,5,n,n,n,Frequency,Light,Period,,
binary_stars_eclipse,Binary Stars Eclipse Light Curve,binary_stars_eclipse.gif,18,n,n,n,Binary stars,Light curve,Eclipse,,
BlackHole_Lensing,Black-hole Lensing,BlackHole_Lensing.gif,24,n,n,n,Black hole,Gravitational lensing,Relativity,Gravity,
Wiki_Spect_Binaries_v2,Binary System Doppler-shift,Wiki_Spect_Binaries_v2.gif,18,n,n,n,Binary stars,Doppler shift,Spectrum,,
Light_dispersion_conceptual_waves,Light Prism Refraction,Light_dispersion_conceptual_waves.gif,5,n,n,n,Light,Spectrum,Refraction,Optics,
Interstellar_comet_orbits,Interstellar Comet Orbits,Interstellar_comet_orbits.gif,3,n,n,n,Orbit,Gravity,Comet,Kepler's laws,
Cepheid_animation_1,Cepheid Star Expansion/Contraction Colorshift,Cepheid_animation_1.gif,19,n,n,n,Star,Cepheid variable,Distance,Variable star,
Nogreenstars,Stars Perceived Color,Nogreenstars.gif,5,n,n,n,Blackbody,Color,Temperature,Star,Spectrum
Convection,Convection Currents,Convection.gif,16,n,n,n,Convection,Heat,Temperature,Atmosphere,
Impact_crater,Impact Crater,Impact_crater.gif,9,n,n,n,Crater,Impact,,,
Meteor_atmosphere,Meteor in Atmosphere,Meteor_atmosphere.gif,14,n,n,n,Meteor,Atmosphere,Meteorite,,
Bohr_atom_animation_2,Bohr Atom Photon Absorption/Emission,Bohr_atom_animation_2.gif,5,n,n,n,Atom,Spectrum,Photon,Light,
New moon-Full moon,Moon Phases: New Moon-Full Moon,,4,n,n,n,Moon,New-Full,,,
Full moon- New moon,Moon Phases: Full Moon- New Moon,,4,n,n,n,Moon,Full-New,,,
"Semi-major axis, eccentricity",Semi-Major Axis and Eccentricity,,3,n,n,n,planets,semi major axis,,,
